SchoolLongName,Address,City,State,Zip Code Plus 4
Hope Academy,333 State Docks Rd,Eufaula,AL,36027-3317
Fairfield Alternative School,6405 Avenue D,Fairfield,AL,35064-1955
Fairfield High Preparatory School,610 Valley Rd,Fairfield,AL,35064-2232
Fairfield Area Vocational School,610 Valley Rd,Fairfield,AL,35064-2232
Florence High School,1201 Bradshaw Dr,Florence,AL,35630-1479
Florence Freshman Center,1203 Bradshaw Drive,Florence,AL,35630-4694
Florence Learning Center,610 W College St,Florence,AL,35630-5360
Fort Payne High School,201 45th St NE,Fort Payne,AL,35967-4011
Gadsden City Alternative School,607 S 12th St,Gadsden,AL,35901-3802
Gadsden City High School,1917 Black Creek Pkwy,Gadsden,AL,35904-4584
C I T Y Program,435 E Chestnut St,Gadsden,AL,35903-2321
Geneva High School,505 Panther Dr,Geneva,AL,36340-1499
Guntersville High School,14227 Highway 431 South,Guntersville,AL,35976-2599
Haleyville High School,2001 20th St,Haleyville,AL,35565-1959
Haleyville Center Of Technology,2007 20th St,Haleyville,AL,35565-1959
Hartselle High School,1000 Bethel Road NE,Hartselle,AL,35640-3198
Homewood High School,1901 Lakeshore Dr S,Homewood,AL,35209-6799
Spain Park High School,4700 Jaguar Dr,Birmingham,AL,35242-4678
Hoover High School,1000 Buccaneer Dr,Hoover,AL,35244-4511
Crossroads School,2826 Columbiana Rd,Hoover,AL,35216-2518
SR Butler High School,3401 Holmes Ave NW,Huntsville,AL,35816-4198
Columbia High School,300 Explorer Blvd NW,Huntsville,AL,35806-2824
Huntsville High School,2304 Billie Watkins St SW,Huntsville,AL,35801-5299
JO Johnson High School,6201 Pueblo Dr NW,Huntsville,AL,35810-1499
Lee High School,2500 Meridian St.,Huntsville,AL,35811-1892
Virgil Grissom High School,7901 Bailey Cove Rd SE,Huntsville,AL,35802-3399
New Century Technology Demo High School,2500 Meridian Street NW,Huntsville,AL,35811-    
Mental Health Center,4040 Memorial Pkwy SWSte A,Huntsville,AL,35802-1396
Robert Neaves Center,817 Cook Ave NW,Huntsville,AL,35801-5921
Huntsville Center For Technology,2800 Drake Ave SW,Huntsville,AL,35805-5122
Jacksonville High School,1000 George Douthit Dr SW,Jacksonville,AL,36265-4300
North Highland School,907 12th Ave W,Jasper,AL,35501-4169
Walker High School,1601 Highland Ave,Jasper,AL,35501-4999
Lanett Senior High School,1301 S 8th Ave,Lanett,AL,36863-2809
Leeds High School,1500 Greenwave Dr,Leeds,AL,35094-1403
Linden High School,PO Box 480729,Linden,AL,36748-0729
Bob Jones High School,650 Hughes Rd,Madison,AL,35758-8737
James Clemens High School,11306 County Line Road,Madison,AL,35758-0000
Midfield High School,1600 High School Rd,Midfield,AL,35228-1699
Midfield Area Vocational Department,1600 High School Rd,Birmingham,AL,35221-1602
Mountain Brook High School,3650 Bethune Dr,Mountain Brk,AL,35223-1499
Muscle Shoals High School,1900 Avalon Ave,Muscle Shoals,AL,35661-3120
Muscle Shoals Career Academy,PO Box 2186,Muscle Shoals,AL,35662-2186
Pelham High School,2500 Panther Cir,Pelham,AL,35124-0000
Oneonta High School,27605 State Highway 75,Oneonta,AL,35121-3228
Opelika Learning Center,214 Jeter Ave,Opelika,AL,36801-3730
Opelika High School,1700 Lafayette Pkwy,Opelika,AL,36801-3199
Opp High School,502 N Maloy St,Opp,AL,36467-3438
Oxford High School,1 Yellow Jacket Dr,Oxford,AL,36203-2182
Oxford Area Vocational School,1 Yellow Jacket Dr,Oxford,AL,36203-2182
Carroll High School,315 Eagle Way,Ozark,AL,36360-1593
Opportunity Academy,1044 Andrews Ave,Ozark,AL,36360-3708
Carroll High School Career Center,227 Faust Ave,Ozark,AL,36360-1575
Pell City High School,1300 Cogswell Ave,Pell City,AL,35125-1299
RISE Academy,1300 Cogswell Avenue,Pell City,AL,35125-0000
Central High School,2400 Dobbs Dr,Phenix City,AL,36870-2314
Central Freshman Academy,2800 Dobbs Dr,Phenix City,AL,36870-2325
Piedmont High School,750 Tom Bible Mem Hwy,Piedmont,AL,36272-1579
Saraland High School,1115 Industrial Pkwy,Saraland,AL,36571-3721
Handley High School,PO Box 1393,Roanoke,AL,36274-9093
Randolph-Roanoke Career Technology Center,960 Main St S,Wedowee,AL,36278-7179
Russellville High School,1865 Waterloo Rd,Russellville,AL,35653-5425
Scottsboro High School,25053 John T Reid Pkwy,Scottsboro,AL,35768-2351
Phoenix School,501 Plant St,Selma,AL,36703-2532
Selma High School,2180 Broad St,Selma,AL,36701-4199
Sheffield High School,2800 E 19th Ave,Sheffield,AL,35660-7499
Sylacauga High School,701 N Broadway Ave,Sylacauga,AL,35150-2155
Talladega High School,1177 McMillan Street East,Talladega,AL,35160-3128
Talladega Career Technical Center,110 Picadilly Dr,Talladega,AL,35160-3164
Tallassee High School,502 Barnett Blvd,Tallassee,AL,36078-1400
Satsuma High School,1 Gator Circle,Satsuma,AL,36572-0000
Tarrant High School,91 Black Creek Rd,Tarrant,AL,35217-3096
Thomasville High School,777 Gates Dr,Thomasville,AL,36784-2609
Alternative Learning Center,PO Box 529,Troy,AL,36081-0529
Charles Henderson High School,PO Box 1006,Troy,AL,36081-1006
Troy-Pike Regional Center For Technology,285 Gibbs St,Troy,AL,36081-4704
Paul W Bryant High School,6315 Mary Harmon Bryant Dr,Cottondale,AL,35453-4326
Northridge High School,2901 Northridge Rd,Tuscaloosa,AL,35406-3665
Oak Hill School,3834 21st Street,Tuscaloosa,AL,35401-2618
Central High School,905 15th St,Tuscaloosa,AL,35401-4099
Tuscaloosa Career and Technology Academy,2800 Martin Luther King Jr. Boulevard,Tuscaloosa,AL,35401-2652
Deshler High School,200 N Commons St E,Tuscumbia,AL,35674-1250
Deshler Alternative School,303 North Commons St. East,Tuscumbia,AL,35674-1250
Deshler Career Technical Center,303 N Commons St E,Tuscumbia,AL,35674-1250
Vestavia Hills High School,2235 Lime Rock Rd,Vestavia,AL,35216-3399
Winfield High School,232 Pirate Cv,Winfield,AL,35594-5560
Hewitt-Trussville High School,6450 Husky Pkwy,Trussville,AL,35173-6400
